period,factor,n,spread_ew,spread_vw,q1_ew,q2_ew,q3_ew,q4_ew,q5_ew
2015-06-30,days_adv,1204,0.059943642749712846,0.040121075686198916,-0.071360453719442,-0.028532998290705002,-0.05029579158895194,-0.03169801949899561,-0.011416810969729152
2015-06-30,dbreadth,1204,0.015363504167965149,-0.018653613221220115,-0.05835518635229078,-0.03725341420109743,-0.020595799811566107,-0.0362193461361514,-0.042991682184325634
2015-09-30,days_adv,1221,0.09222088035596315,0.1336708593259803,-0.1879771720941813,-0.11072615401953391,-0.10405944547358396,-0.0950561192086257,-0.09575629173821815
2015-09-30,dbreadth,1221,-0.025653004278226893,0.02294870712394889,-0.09553075957293936,-0.11222923063625106,-0.1492928226843823,-0.11500090467554287,-0.12118376385116625
2015-12-31,days_adv,1242,-0.0580592692626751,-0.08451960849422063,0.18719602917454978,0.14293240807110932,0.14250404686226958,0.1286791516651371,0.12913675991187468
2015-12-31,dbreadth,1242,-0.0044823900014059614,-0.030941429346368537,0.13969865113197746,0.1690926374703021,0.13302186978869882,0.15075837926151944,0.1352162611305715
2016-03-31,days_adv,1258,-0.052102341186707285,-0.06728690813910763,0.1435798670875822,0.12797123824600026,0.09842716287192071,0.10309154704852969,0.0914775259008749
2016-03-31,dbreadth,1258,0.0036241019401010988,-0.028811282244603262,0.09752587350867993,0.12517518244960563,0.11951998599916247,0.12080466068820275,0.10114997544878103
2016-06-30,days_adv,1291,0.02698647142711711,-0.15642897046112733,0.03577105458356932,0.051940670271308394,0.050642601202853646,0.04985642472050213,0.06275752601068643
2016-06-30,dbreadth,1291,0.04114938889176292,0.0115409883457207,0.010788489105977414,0.03821962832226209,0.08555128798488869,0.0643319252012273,0.051937877997740335
2016-09-30,days_adv,1308,-0.03677321372483504,-0.07525880638441548,0.1250499897192719,0.09664616742555182,0.07817603192620756,0.07946319535243647,0.08827677599443685
2016-09-30,dbreadth,1308,0.025445453847821528,0.012874707871638871,0.08340712532169653,0.08757390675858782,0.0865546681188855,0.10513795209534112,0.10885257916951806
2016-12-31,days_adv,1342,0.020360492401332808,-0.008879924973156747,0.015955361130171854,0.04467849311393233,0.034456410483578045,0.02918024277657586,0.03631585353150466
2016-12-31,dbreadth,1342,-0.015471282814312697,-0.023951548733984623,0.03362286588616371,0.028357270872424508,0.04815801008912419,0.02458278264055777,0.01815158307185101
2017-03-31,days_adv,1357,0.0028711851271564573,0.022871053845533208,0.016470324987482906,0.02061642478296569,0.03509077596200939,0.0039302601412046795,0.019341510114639363
2017-03-31,dbreadth,1357,0.01423635221133229,0.033475163209345335,0.010979883129401052,0.0138426809387606,0.017597788396371286,0.029948050443459967,0.02521623534073334
2017-06-30,days_adv,1392,-0.01212746760269369,-0.07684637053009587,0.09628938686737978,0.06630385472834575,0.0694426732044431,0.07482402804391762,0.0841619192646861
2017-06-30,dbreadth,1392,0.05605972347485545,0.047507298335152624,0.06554450916753657,0.06598920158475484,0.058611562090715295,0.08386282021870894,0.12160423264239202
2017-09-30,days_adv,1418,-0.021948099504263574,-0.09169860344786682,0.08793032565753911,0.08329676712122756,0.05547674799118208,0.03526040386135623,0.06598222615327554
2017-09-30,dbreadth,1418,0.04697141741888622,-0.002762546224358446,0.05251093327720202,0.05177690202120646,0.06432998981819571,0.06667284703838135,0.09948235069608824
2017-12-31,days_adv,1444,0.013245374423786038,-0.0739363961231157,0.06905217905252234,0.04285171632032584,0.040921673676895,0.04400357896226004,0.08229755347630838
2017-12-31,dbreadth,1444,-0.002908455711780625,0.06009086087017868,0.049290675949544276,0.06971275842948789,0.059430453710616164,0.060677454192687934,0.04638222023776365
2018-03-31,days_adv,1474,-0.019509678113628505,-0.053987650380364974,0.07710530103516537,0.036081470637325766,0.06800754453424034,0.0740225052942852,0.05759562292153687
2018-03-31,dbreadth,1474,0.014270140107757429,-0.013424583226087389,0.05143323037845417,0.05217472327452014,0.07620470728573844,0.06586376694000759,0.0657033704862116
2018-06-30,days_adv,1516,0.019327225979993992,0.13417858487480464,-0.06868460511659644,-0.06483307879438802,-0.08130156677055204,-0.08543327648566523,-0.049357379136602444
