period,version,spread_ew,ic
2022-09-30,raw,0.03023333425164109,0.09683759686517616
2022-09-30,resid,-0.01506570049362116,0.053484548101513894
2022-12-31,raw,0.03248981054189758,0.03282307311821541
2022-12-31,resid,0.04873684334308034,0.09050243253686162
2023-03-31,raw,-0.015127742463379584,-0.02800856668667877
2023-03-31,resid,-0.04746681130327597,-0.08931469828637471
2023-06-30,raw,-0.009142973740753423,-0.007292422906953735
2023-06-30,resid,0.04266110984657329,0.07947023269071601
2023-09-30,raw,0.06426666684716269,0.11720409647735164
2023-09-30,resid,0.026480308710208428,0.0650192822905602
2023-12-31,raw,-0.022840103346185123,-0.008392249007883108
2023-12-31,resid,-0.002900560532810778,-0.010908444408105174
2024-03-31,raw,-0.01033252189817149,-0.02315577964640285
2024-03-31,resid,0.008596181748458494,0.016895176123891718
2024-06-30,raw,0.03288407772611217,0.058727254030120773
2024-06-30,resid,0.013251492125805356,0.037450285728696804
2024-09-30,raw,-0.041801341329120854,-0.03709726120925257
2024-09-30,resid,0.0006403450744894706,0.031861058221391514
2024-12-31,raw,-0.059221745653998834,-0.1110590844803605
2024-12-31,resid,-0.002487147548794734,-0.02279483104033233
2025-03-31,raw,0.06504302849619517,0.08641080792254091
2025-03-31,resid,-0.015255573546869752,0.01146601314292237
2025-06-30,raw,0.07138363736517103,0.0608344049962817
2025-06-30,resid,0.04385958420348765,0.061465170464394675
2025-09-30,raw,0.003554792201032733,0.016394978353921504
2025-09-30,resid,-0.03995913992402585,-0.04907297243845217
2025-12-31,raw,0.010680886531260862,-0.00023512833945318646
2025-12-31,resid,0.026641814613250367,0.028041187244202695
