period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2019-06-30,2019-09-08,2019-09-09,2019-09-16,5,40,0.2779680100623508,0.008871954332466972,0.004871954332466972,run_prone_reversal
2019-06-30,2019-09-08,2019-09-09,2019-10-08,21,40,-0.13001876172607885,-0.009298200668866191,-0.013298200668866191,run_prone_reversal
2019-06-30,2019-09-08,2019-09-09,2019-12-06,63,40,-0.006378986866791747,0.006567219552359893,0.002567219552359893,run_prone_reversal
2019-06-30,2019-09-08,2019-09-09,2020-03-10,126,40,-0.17636022514071295,-0.022424969203865983,-0.026424969203865983,run_prone_reversal
2019-09-30,2019-12-09,2019-12-10,2019-12-17,5,40,0.10656660412757975,0.004834456312701851,0.0008344563127018513,run_prone_reversal
2019-09-30,2019-12-09,2019-12-10,2020-01-10,21,40,-0.2110694183864916,-0.004093218294742795,-0.008093218294742795,run_prone_reversal
2019-09-30,2019-12-09,2019-12-10,2020-03-12,63,40,-0.4127579737335835,-0.08537263002343548,-0.08937263002343548,run_prone_reversal
2019-09-30,2019-12-09,2019-12-10,2020-06-11,126,40,-0.3814258911819888,-0.07503300782433608,-0.07903300782433609,run_prone_reversal
2019-12-31,2020-03-10,2020-03-11,2020-03-18,5,40,0.0855534709193246,0.012270816704323173,0.008270816704323173,run_prone_reversal
2019-12-31,2020-03-10,2020-03-11,2020-04-09,21,40,0.057223264540337715,0.005195595367285907,0.0011955953672859072,run_prone_reversal
2019-12-31,2020-03-10,2020-03-11,2020-06-10,63,40,-0.02382739212007505,-0.0216146540924482,-0.0256146540924482,run_prone_reversal
2019-12-31,2020-03-10,2020-03-11,2020-09-09,126,40,-0.08499061913696061,-0.012923590777658506,-0.016923590777658506,run_prone_reversal
2020-03-31,2020-06-09,2020-06-10,2020-06-17,5,40,-0.24840525328330212,-0.005677093731208532,-0.009677093731208532,run_prone_reversal
2020-03-31,2020-06-09,2020-06-10,2020-07-10,21,40,0.007879924953095686,-0.0016766217462487881,-0.005676621746248788,run_prone_reversal
2020-03-31,2020-06-09,2020-06-10,2020-09-09,63,40,0.09305816135084428,-9.649076486334396e-05,-0.004096490764863344,run_prone_reversal
2020-03-31,2020-06-09,2020-06-10,2020-12-08,126,40,0.24315196998123828,0.026656202436299542,0.022656202436299542,run_prone_reversal
2020-06-30,2020-09-08,2020-09-09,2020-09-16,5,40,0.3407129455909944,0.006835886335819191,0.002835886335819191,run_prone_reversal
2020-06-30,2020-09-08,2020-09-09,2020-10-08,21,40,0.04352720450281427,0.0006595881824908306,-0.0033404118175091695,run_prone_reversal
2020-06-30,2020-09-08,2020-09-09,2020-12-08,63,40,0.19287054409005633,0.007694586476895193,0.003694586476895193,run_prone_reversal
