period,spread_A,spread_B,ic_A,ic_B,aum_share_etf,votes_changed
2019-03-31,0.001530392980599895,0.01105357844949869,0.021267202791776345,0.021047736540772778,0.1159461822913601,0.26997840172786175
2019-06-30,0.002816608687828598,-0.010605285415901958,-0.01012466304072808,-0.021885344655135603,0.1112482829161528,0.24887892376681614
2019-09-30,0.014647684190528754,0.003511042232826611,0.03528979612751346,0.026503624193234432,0.11720766794801804,0.2594594594594595
2019-12-31,0.01899261152243123,0.014668838620759406,0.0503991143991144,0.03185869985869986,0.11914176954849459,0.31904161412358134
2020-03-31,-0.035066626679888,-0.051891513341709106,-0.09079771662709954,-0.09296547424838861,0.12414634001947553,0.3036739380022962
2020-06-30,-0.01191066910781105,-0.020895027582613634,-0.0571993051993052,-0.06356096756096757,0.11196155450632327,0.2987730061349693
2020-09-30,-0.07338068898352706,-0.09322555613586156,-0.16624990033417225,-0.17904652267689333,0.14528241784988002,0.30866425992779783
2020-12-31,0.07314521013244342,0.09534286669809636,0.09997686150808827,0.11142947706304823,0.16941663575022248,0.35403726708074534
2021-03-31,-0.005904320592964245,-0.011777997755947851,-0.006518478770894216,-0.008022442901916045,0.17603700413906873,0.3352941176470588
2021-06-30,0.022157791104050494,0.016922537777306727,0.01395009450547569,0.014600382668710717,0.18428045089916986,0.3104041272570937
2021-09-30,0.10689927176847419,0.10167762635252117,0.13591922347337693,0.13963787084545812,0.17769347771190636,0.3194444444444444
2021-12-31,0.07385830348917416,0.07568927472246695,0.12507880491329962,0.14722330976134523,0.12380525530147682,0.3096446700507614
2022-03-31,-0.04208966546783251,-0.028661159659571958,-0.06257947242131366,-0.06844447764699936,0.1775686277641113,0.33062330623306235
2022-06-30,0.028580248577491037,0.01598772757540288,0.08049286782524548,0.07708485857772221,0.24060659958355932,0.34860248447204967
2022-09-30,0.005085010297159451,-0.0026260564504038825,-0.03510787154896211,-0.04011828391088371,0.14504815271157384,0.2880470280862182
2022-12-31,0.051538071738599395,0.05363386020259518,0.06919470493322268,0.0591669329320471,0.15290260081166196,0.30132788559754853
2023-03-31,-0.010984453740327638,0.0039640427178684184,-0.026069919457367842,-0.0333764186528042,0.15827742322211785,0.3042016806722689
2023-06-30,-0.00017083946178476916,0.0038148543024307813,0.010139745807075164,0.00827499278239407,0.13329229325448141,0.31400370141887723
2023-09-30,0.004841409706759198,0.02222115435381082,0.027917365442207687,0.015751449865772333,0.15269805204958078,0.2912123155869147
2023-12-31,0.02920404558949105,0.043511154960462206,0.05579662821593476,0.07633549534060963,0.13485267391493655,0.34796926454445665
2024-03-31,0.02393438582019733,0.026342548477159444,0.036855372408871746,0.045253564839556,0.1407374271695757,0.31353135313531355
2024-06-30,0.02694058748679226,0.02733598294690201,0.03263287570045237,0.025379684966303707,0.24178489270674644,0.2966859547606523
2024-09-30,0.022054331957384484,0.027531202025457238,0.06123051166590449,0.05381774917295095,0.2501434970597631,0.31535498073747936
2024-12-31,0.016003073007564882,0.03164076484836242,0.07796249826234194,0.0862610903609854,0.2494073166283957,0.3579676674364896
2025-03-31,0.06117025898617619,0.02879056367512324,0.015656618797191782,-0.012524743203276175,0.14411726300381061,0.32674772036474165
2025-06-30,0.034654806210319654,0.023447730362970473,0.02873020456041731,0.028136167747117545,0.13760754237493297,0.3275862068965517
2025-09-30,-0.052148268594466154,-0.03939900301841244,-0.07616222753364771,-0.05321181926539816,0.14262098904523557,0.3281573498964803
2025-12-31,0.01036535005882246,0.01976947959616756,0.013469269380136824,0.011212248727245177,0.1289659581634075,0.3835616438356164
