period,kind,n,spread_q1,spread_q2
2021-12-31,tese,1069,-0.04770364196204302,0.07233405522510043
2021-12-31,placebo,1069,-0.05346708643125635,0.016633929055548072
2022-03-31,tese,1094,0.024669114691828753,-0.005704820799740731
2022-03-31,placebo,1094,0.07668761958496094,-0.04305239386218859
2022-06-30,tese,1109,0.06393918285891304,0.029152904572881513
2022-06-30,placebo,1109,0.06230559186194242,-0.12961942685405764
2022-09-30,tese,1109,-0.12319484331907679,-0.025850579765925297
2022-09-30,placebo,1109,-0.10212468009923747,0.004096943283422284
2022-12-31,tese,1159,-0.012072256128252822,-0.011238250993734045
2022-12-31,placebo,1159,-0.07946910017668712,-0.02888501045943575
2023-03-31,tese,1144,-0.02280023106455254,0.01765190052957662
2023-03-31,placebo,1144,-0.015849439702477555,-0.1207696072750976
2023-06-30,tese,1149,-0.013596364743882837,0.1299600848084993
2023-06-30,placebo,1149,0.07026236940136239,-0.0994809664652987
2023-09-30,tese,1147,-0.02033281524169475,0.09840224746517068
2023-09-30,placebo,1147,-0.08629903453061347,-0.017937085590350836
2023-12-31,tese,1175,0.07261549081386826,0.01603582217695982
2023-12-31,placebo,1175,-0.042674807212766605,-0.041136700687285546
2024-03-31,tese,1175,0.028184911378703242,0.07003053021608935
2024-03-31,placebo,1175,0.037967695721811134,0.02646350828235389
2024-06-30,tese,1156,-0.008777938273476747,0.004526332977256214
2024-06-30,placebo,1156,0.06001182585461439,-0.18156615020194775
2024-09-30,tese,1161,0.0367886179657842,0.022912496309028627
2024-09-30,placebo,1161,-0.12589218205342,-0.10622474007281373
2024-12-31,tese,1219,-0.06445167141645786,0.025522673358454595
2024-12-31,placebo,1219,-0.02116135733904185,-0.03130726770819514
2025-03-31,tese,1204,0.017785838292768724,0.16430822057826447
2025-03-31,placebo,1204,-0.12149345106670419,-0.1290846915676782
2025-06-30,tese,1243,0.18143113430638025,-0.0432541602543239
2025-06-30,placebo,1243,0.05867049852467124,0.07817976916390881
2025-09-30,tese,1254,0.08758805379421065,0.00868925446672121
2025-09-30,placebo,1254,0.08128693325234113,0.0265319580881552
2025-12-31,tese,1225,0.048763781574321374,-0.061928714226950204
2025-12-31,placebo,1225,-0.013885054768799018,-0.1086336877342687
