period,n_long,short,v0_long,v1_long,v2_long,v3_long,n_cc_removed,n_d2_removed
2019-06-30,159,0.04557814248076504,0.04617376467979783,0.03955696099923543,0.05148522902530358,0.06592484011148372,69,63
2019-09-30,162,0.07485043374830166,0.09687610024894348,0.092769392247989,0.10002846566042878,0.08748848649274722,61,72
2019-12-31,168,-0.08202864064646082,-0.06825534435277499,-0.06986337218499425,-0.061393175317247424,-0.06031810856891867,59,69
2020-03-31,165,0.19767930454262655,0.15952762626971106,0.1638353485622925,0.1636325284049356,0.16306706196649523,67,72
2020-06-30,172,0.15288722501126575,0.10866242766867078,0.12707836761715127,0.08112365013864815,0.07048146953944262,82,64
2020-09-30,180,0.27454936060527163,0.1980056686794756,0.2311190107801402,0.19835953809627369,0.23983238871344761,63,56
2020-12-31,191,-0.0329296230601576,0.03402257181969975,0.033700893679236094,0.028275000754042063,0.04071031999692876,78,64
2021-03-31,203,-0.005681854988682529,-0.012115374488107079,-0.02445746273818622,0.01089817472564531,0.00985695049742087,61,66
2021-06-30,213,0.08747593630694957,0.07984700949295274,0.08035867650064091,0.07567461245378035,0.0830698901081207,66,81
2021-09-30,214,-0.17955855801280177,-0.07498453550540923,-0.06517654540453115,-0.09237506218075514,-0.08401670505414223,69,72
2021-12-31,237,-0.13330804827623174,-0.08746848217590755,-0.09830180085864303,-0.08965112887289997,-0.10528926605139177,57,92
2022-03-31,224,0.0868239300558714,0.09607773428180263,0.10363777566803968,0.10992395301734444,0.12313094513851422,56,87
2022-06-30,223,-0.0541720570113169,-0.04381059706752718,-0.05358645305300921,-0.017656043344025363,-0.02101562372667455,57,91
2022-09-30,209,0.09772919383199993,0.07881436483323556,0.09340827805804611,0.06872122907737818,0.08850766400392275,59,74
2022-12-31,228,-0.07331947706306503,-0.029425042014898067,-0.04100289368856346,-0.052957880511623937,-0.08108901150052977,55,80
2023-03-31,215,0.037405756931416456,0.03624882344120311,0.0385203207504258,0.0543907439409214,0.052504597184387526,68,88
2023-06-30,208,-0.0024988580800401126,0.010263991199877335,0.008307585672578104,0.02139190738134192,0.027280063712129432,64,89
2023-09-30,213,0.12268668220048892,0.1457178226102213,0.15875363209812302,0.16817678006126419,0.19664750210080348,66,87
2023-12-31,222,0.0323041917787601,0.05814403971643421,0.060924623533803644,0.06474956079237683,0.06502982200556125,58,76
2024-03-31,223,0.011280625877336739,0.024901456312871842,0.02245813451331776,0.03153965166831327,0.038781444677337504,80,87
2024-06-30,224,0.07952220114600814,0.0851733874450452,0.08641488858359364,0.08473004883354085,0.0724501499144691,72,99
2024-09-30,234,0.019472013501653316,0.02158351148851304,0.025114744863910438,-0.0007138153553575933,-0.0017883126420480345,89,97
2024-12-31,240,-0.047755787473034945,-0.013801335037902174,-0.017309969037376007,-0.014945576638520723,-0.010907763207237891,83,90
2025-03-31,239,0.05269846040027223,0.11474776326764793,0.14183697776520027,0.08181518765205734,0.10085793363967367,72,92
2025-06-30,247,-0.017804083343017103,0.005480598319001225,0.013120559823355075,0.009832648868474635,0.024570930075189686,76,109
2025-09-30,255,0.08500262326528468,0.03202553292512741,0.04223892648440326,0.02511522994064349,0.02298148230714647,70,103
2025-12-31,274,0.03473453108653685,0.03572793770275202,0.05271748413571233,0.02616269418969096,0.04001858667274535,73,113
