period,version,spread_ew,spread_vw,ic,n
2019-06-30,raw,0.03410191675315792,0.21134657740193624,0.04491359068861052,1464
2019-06-30,resid,0.04979724292646086,0.04258325347847909,0.0639407752836908,1416
2019-09-30,raw,-0.11170879855479751,-0.06600352614117361,-0.16852820692980378,1473
2019-09-30,resid,-0.09951548410812386,-0.08646739818245935,-0.18720057539044038,1426
2019-12-31,raw,-0.25411467684142375,-0.1592156278267131,-0.2698957305526167,1504
2019-12-31,resid,-0.24909653342980043,-0.16240134706683435,-0.2794889261468229,1457
2020-03-31,raw,-0.08154145110315605,-0.09061426357593788,-0.1530918683186891,1460
2020-03-31,resid,-0.06459447600337129,-0.23928677045940394,-0.1184415218159188,1411
2020-06-30,raw,0.0022645236583105077,-0.5595145891182081,0.012968839039767806,1543
2020-06-30,resid,0.0015294848916491688,-0.5705365390667709,0.00806639227409878,1494
2020-09-30,raw,-0.19347046828944753,-0.1843251949114118,-0.2624666313212277,1437
2020-09-30,resid,-0.11973717817054588,-0.40506083168293894,-0.20489010799315188,1389
2020-12-31,raw,0.0463897204945885,0.6868293574469779,0.023028283141323855,1505
2020-12-31,resid,0.0579715867096244,0.6325115505646605,0.03183842563906104,1456
2021-03-31,raw,-0.03445774715180012,-0.09490950457430081,-0.04982845685650285,1599
2021-03-31,resid,-0.03142446481675086,-0.10704788206309104,-0.054157980583362735,1550
2021-06-30,raw,-0.03719977059585201,-0.05103100190214373,-0.05519779785419555,1680
2021-06-30,resid,-0.026275485697375117,-0.016280330376692062,-0.038217793368117065,1629
2021-09-30,raw,0.21014044237872442,0.26880883073908607,0.2837201947228467,1664
2021-09-30,resid,0.2020416760549417,0.2807292772428527,0.28021144867996506,1613
2021-12-31,raw,0.15963110059275243,0.19711271728255997,0.2677120365310839,1953
2021-12-31,resid,0.15604902822316952,0.14387150003301788,0.2554005594720501,1901
2022-03-31,raw,-0.10136946855209061,-0.19250124872530136,-0.176654991051242,1728
2022-03-31,resid,-0.09046447215939316,-0.18392993418583634,-0.15455095192913054,1674
2022-06-30,raw,0.10073988478550636,0.1871719726992926,0.13609804136500706,1653
2022-06-30,resid,0.10641439381164054,0.20178433573260593,0.14391483246805342,1598
2022-09-30,raw,-0.038900959547865994,0.01625662308708179,-0.0845683356942025,1929
2022-09-30,resid,-0.01922902495530933,-0.0015949926605427905,-0.06553274993385572,1873
2022-12-31,raw,-0.010380718559591481,-0.00908982697151757,0.010127080089957255,1898
2022-12-31,resid,-0.008659443243544444,0.050072401785867915,0.005783551584376805,1838
2023-03-31,raw,-0.039543229914265635,-0.08040989778432125,-0.061208376472880716,1934
2023-03-31,resid,-0.026011017177207094,-0.05110452625456519,-0.039480462971693026,1876
2023-06-30,raw,0.011700806020386909,-0.03426750217767038,0.009155700259896524,1938
2023-06-30,resid,0.006222473495681807,-0.6214984435242263,-0.007639456449043401,1880
2023-09-30,raw,-0.06402381918606781,0.6292796454454066,-0.11814644376496834,1956
2023-09-30,resid,-0.029192449782042676,0.5746542355921433,-0.09650011253340923,1897
2023-12-31,raw,0.02654473721226041,0.058450425507023,0.05600708883368799,1996
2023-12-31,resid,0.04897892138381787,0.49936631606794646,0.06192873608058718,1938
2024-03-31,raw,0.055614541912584456,-0.10349339509280794,0.1044298893835179,2025
2024-03-31,resid,0.066805720994762,0.02271055787384767,0.09477210404782115,1966
2024-06-30,raw,-0.07422609938106009,-0.12854646042728915,-0.09444585383241184,2040
2024-06-30,resid,-0.037762915089032095,-0.022180758544976475,-0.06906893505610581,1981
2024-09-30,raw,-0.0936818595418579,-0.057729574816881714,-0.11526209231709103,2077
2024-09-30,resid,-0.09155399681922674,-0.08929766724472671,-0.11624381867398495,2015
2024-12-31,raw,0.06026995155597787,0.04245619245432702,0.11359314494451585,2104
2024-12-31,resid,0.038910217487900925,0.011857480367713072,0.06723459173073337,2043
2025-03-31,raw,-0.07178046727237282,-0.13097702803409436,-0.10515727059776149,2096
2025-03-31,resid,-0.05120699924415538,-0.11719384722263364,-0.0704852128425121,2034
2025-06-30,raw,-0.06219532773267414,-0.08454739823952223,-0.06828733934971186,2165
2025-06-30,resid,-0.042012565241333455,-0.052238722719452166,-0.04483072388958849,2090
2025-09-30,raw,0.0672548909797184,0.13083981074588888,0.10791794610880312,2215
2025-09-30,resid,0.06888839239256503,0.10722560807487024,0.1129247633982428,2139
2025-12-31,raw,-0.04940757247825094,-0.19921970577346204,-0.06226238514633779,2049
2025-12-31,resid,-0.03203284720616561,-0.16689543389904332,-0.05404333738398044,1970
