strategy,total_return,ann_return,ann_vol,sharpe,max_drawdown,hit_ratio,ann_turnover,fee_bps,sample
abnormal_adoption,-0.09601182872064518,-0.046773998409631146,0.08288097614739626,-0.56435144207819,-0.16705029717085262,0.5010706638115632,30.541887278438367,5,full
ccp,-0.028448980951980563,-0.013603604224126431,0.05804946529615766,-0.2343450392647607,-0.14597853544495687,0.4830188679245283,4.829140717633706,5,full
fragility_stress,-0.14131627196337637,-0.06975183392876971,0.031436483177584996,-2.218817974477009,-0.1430015477093297,0.18584070796460178,27.141629180259276,5,full
fragility_reversal,-0.006287442588546743,-0.0029888155946662387,0.08335277438175728,-0.03585742186549672,-0.1343370273004062,0.5169811320754717,26.722394380157894,5,full
sticky_raw,-0.10394509139612296,-0.050753196788054566,0.03380745659029499,-1.5012426815516235,-0.10923933248794404,0.4660377358490566,31.703981872241545,5,full
sticky_specificity,-0.0837350254184469,-0.040652146156316626,0.03456448361122526,-1.1761247936918207,-0.09381081354527188,0.46226415094339623,29.485595212085528,5,full
double_down_all,0.26924712905757464,0.11980026161191382,0.10567800486716063,1.1336347782351224,-0.07934554921202885,0.5056603773584906,13.042454757575456,5,full
abnormal_level,0.04270389938226704,0.02004370153309587,0.07316258164510654,0.2739611025527075,-0.11989433523623028,0.5283018867924528,10.821564233238972,5,full
new_holder_breadth,-0.07792799843270715,-0.037771476143685034,0.04691828122015449,-0.8050481637733076,-0.139146420744247,0.4962264150943396,31.680740333191437,5,full
consensus,-0.014123793907297677,-0.006727868392866432,0.062355431792792425,-0.10789546635204435,-0.1212084738359962,0.49433962264150944,5.555635625904787,5,full
fragility_unconditional,0.06976513321661093,0.032522675535127776,0.0896299148514143,0.362855142605489,-0.13828497521606553,0.5452830188679245,14.208706790478095,5,full
sticky_quality,-0.16992825565435854,-0.084593066327457,0.033743803427005954,-2.506921500726714,-0.1735224387432165,0.4320754716981132,29.311535353435758,10,full
double_down_specific,0.23327976444104848,0.1046270583853095,0.11285667290489591,0.9270790613637752,-0.08562372075905056,0.4981132075471698,13.93142626796264,10,full
