period,signal,horizon,spread_full,spread_patient,n_mgr_patient,n_mgr_full,votes_patient,votes_full
2022-09-30,new_conv,q1,0.024231388387160963,0.012772338127882907,1454,5430,1566,10561
2022-09-30,new_conv,q2,0.06680257133245732,0.05199126754121955,1454,5430,1566,10561
2022-09-30,dbreadth,q1,-0.044790374233546586,-0.046170146635495735,1454,5430,1566,10561
2022-09-30,dbreadth,q2,-0.006762199488596708,0.005256118750090556,1454,5430,1566,10561
2022-12-31,new_conv,q1,0.07049970660795624,0.027818266537698456,1449,5523,1629,13107
2022-12-31,new_conv,q2,-0.01304640700452224,0.0231600447965329,1449,5523,1629,13107
2022-12-31,dbreadth,q1,-0.020166808106465206,-0.03531874024558193,1449,5523,1629,13107
2022-12-31,dbreadth,q2,0.011364426663798416,0.012767287771239089,1449,5523,1629,13107
2023-03-31,new_conv,q1,0.019506299510934744,0.023459736818733284,1466,5565,1736,11743
2023-03-31,new_conv,q2,0.11911332694895617,0.03405161510087004,1466,5565,1736,11743
2023-03-31,dbreadth,q1,0.019808631769744567,-0.008010507520540486,1466,5565,1736,11743
2023-03-31,dbreadth,q2,0.015849820760338015,0.027431719440784846,1466,5565,1736,11743
2023-06-30,new_conv,q1,0.05199849292025936,0.05509292971458544,1478,5558,1625,11152
2023-06-30,new_conv,q2,0.01775478515881429,0.03225043035966524,1478,5558,1625,11152
2023-06-30,dbreadth,q1,0.040112264192204844,0.0034820053659133515,1478,5558,1625,11152
2023-06-30,dbreadth,q2,0.0012237208461536309,0.04684412194416361,1478,5558,1625,11152
2023-09-30,new_conv,q1,0.040775419326632784,0.022652475055731897,1479,5549,1345,11233
2023-09-30,new_conv,q2,0.03849135869177861,0.0395454258316872,1479,5549,1345,11233
2023-09-30,dbreadth,q1,0.01671357951217453,0.026204628318437423,1479,5549,1345,11233
2023-09-30,dbreadth,q2,0.007918618437256941,0.005973806626887977,1479,5549,1345,11233
2023-12-31,new_conv,q1,0.05859593655968703,0.03953986125912389,1561,5832,1590,13065
2023-12-31,new_conv,q2,0.053914576029756994,0.032151503147132846,1561,5832,1590,13065
2023-12-31,dbreadth,q1,-0.0011249626504064997,0.016693001845992317,1561,5832,1590,13065
2023-12-31,dbreadth,q2,0.05899114907539256,0.05226692922299421,1561,5832,1590,13065
2024-03-31,new_conv,q1,0.01898356189674277,0.04164858783527792,1619,5973,1903,12684
2024-03-31,new_conv,q2,0.03856876536121534,0.009873001623805985,1619,5973,1903,12684
2024-03-31,dbreadth,q1,0.04050301205963797,0.04288294428954778,1619,5973,1903,12684
2024-03-31,dbreadth,q2,0.007944127466038356,0.024561392002736854,1619,5973,1903,12684
2024-06-30,new_conv,q1,0.0313857227088437,-0.013349012361498408,1622,5948,2053,13981
2024-06-30,new_conv,q2,0.035564081640012096,0.010418359649134706,1622,5948,2053,13981
2024-06-30,dbreadth,q1,0.015839092779542555,0.038607651122036846,1622,5948,2053,13981
2024-06-30,dbreadth,q2,-0.019380733252534327,-0.0004534326497099145,1622,5948,2053,13981
2024-09-30,new_conv,q1,0.04973246834359888,0.021600323182203285,1645,6004,1763,13205
2024-09-30,new_conv,q2,0.056880258707931834,0.0204203092794498,1645,6004,1763,13205
2024-09-30,dbreadth,q1,-0.025345417237665445,-0.04077236353761482,1645,6004,1763,13205
2024-09-30,dbreadth,q2,0.11274871721545372,0.07114499320003087,1645,6004,1763,13205
2024-12-31,new_conv,q1,0.061046319121273424,0.04263479326294552,1778,6465,2569,17814
2024-12-31,new_conv,q2,0.036244349981764665,0.02265470946066367,1778,6465,2569,17814
2024-12-31,dbreadth,q1,0.03528953767205881,0.02361461646621465,1778,6465,2569,17814
2024-12-31,dbreadth,q2,-0.0030173907436414626,-0.007600930126322361,1778,6465,2569,17814
2025-03-31,new_conv,q1,0.0209947506935471,0.009904269143670333,1816,6570,2609,14713
2025-03-31,new_conv,q2,0.020359477320063407,0.007830740777083494,1816,6570,2609,14713
2025-03-31,dbreadth,q1,-0.021252494042055217,0.030203736006019652,1816,6570,2609,14713
2025-03-31,dbreadth,q2,0.014086978549686935,0.037691853225592986,1816,6570,2609,14713
2025-06-30,new_conv,q1,0.0529857461984683,0.061384920961020585,1809,6535,2558,15516
2025-06-30,new_conv,q2,-0.0847382586002613,-0.063944763267812,1809,6535,2558,15516
2025-06-30,dbreadth,q1,-0.05285215954113956,0.012141635342128351,1809,6535,2558,15516
2025-06-30,dbreadth,q2,-0.034243106627949,-0.00347209082005627,1809,6535,2558,15516
2025-09-30,new_conv,q1,-0.07206652457557033,-0.06224010865087086,1812,6510,2678,14407
2025-09-30,new_conv,q2,0.0397260766887067,0.01717747761498792,1812,6510,2678,14407
2025-09-30,dbreadth,q1,0.04398300971978762,0.03823477431092845,1812,6510,2678,14407
2025-09-30,dbreadth,q2,0.04238120727207633,0.054616128547939666,1812,6510,2678,14407
2025-12-31,new_conv,q1,-0.010383248885172482,-0.006224659731103974,1633,5704,1881,12153
2025-12-31,dbreadth,q1,0.06256279728703226,0.0707297705550303,1633,5704,1881,12153
