period,h,model,coverage,r2,r2_wins,ic,hit
2019-03-31,15,revealed,0.02909698003292314,0.00823882504048612,0.007318409220055555,0.011797800217143162,0.47633824670287045
2019-03-31,15,revealed_scaled,0.02909698003292314,-0.12888856623179112,-0.09614979041172322,0.011797800217143162,0.47633824670287045
2019-03-31,30,revealed,0.1020543049644344,0.030008162592733978,0.03767728929635017,0.13315585517472583,0.5407055630936228
2019-03-31,30,revealed_scaled,0.1020543049644344,-0.48144060800279864,-0.5760230625916369,0.13315585517472583,0.5407055630936228
2019-03-31,45,revealed,0.9625793630603073,0.7927734849458992,0.8956454424846584,0.9442358593342123,0.9444791016843419
2019-03-31,45,revealed_scaled,0.9625793630603073,0.7913167117870391,0.8963952235518612,0.9442358593342123,0.9444791016843419
2019-03-31,60,revealed,0.9808931241597124,0.8228293047362489,0.9393856019903354,0.9708803171173803,0.9706799750467873
2019-03-31,60,revealed_scaled,0.9808931241597124,0.8224992660005354,0.9398599989540307,0.9708803171173803,0.9706799750467873
2019-06-30,15,revealed,0.02914861928897875,0.007221373342492399,0.011545957895520265,0.058952414564242675,0.5284489477786438
2019-06-30,15,revealed_scaled,0.02914861928897875,-0.15760295791371592,-0.04449543849864601,0.058952414564242675,0.5284489477786438
2019-06-30,30,revealed,0.13276189359897922,0.09521598737003956,0.06339257752492222,0.21457906311589542,0.5884286653517423
2019-06-30,30,revealed_scaled,0.13276189359897922,-1.9884491489835279,-0.5610186172428189,0.21457906311589542,0.5884286653517423
2019-06-30,45,revealed,0.9717624239335474,0.5940725557133708,0.6013949619862238,0.8403490252485455,0.8892288861689106
2019-06-30,45,revealed_scaled,0.9717624239335474,0.573848362715689,0.5821307427072078,0.8403490252485455,0.8892288861689106
2019-06-30,60,revealed,0.9908170734441003,0.960460141051673,0.9259770877385182,0.9511172891373324,0.9597069597069597
2019-06-30,60,revealed_scaled,0.9908170734441003,0.9601973958376189,0.9254208449704954,0.9511172891373324,0.9597069597069597
2019-09-30,15,revealed,0.023680794866704276,0.002232328513138815,0.0022341327037734837,0.06947982596573304,0.5411676646706587
2019-09-30,15,revealed_scaled,0.023680794866704276,-0.10585070715894562,-0.03889993101826095,0.06947982596573304,0.5411676646706587
2019-09-30,30,revealed,0.11151391056344957,0.01838823393113098,0.027594196223719836,0.20257667000507035,0.583386992916935
2019-09-30,30,revealed_scaled,0.11151391056344957,-0.478387846449422,-0.7253865631898371,0.20257667000507035,0.583386992916935
2019-09-30,45,revealed,0.9661063502885644,0.9508783727236735,0.865835011765144,0.9134577184877107,0.8991150442477877
2019-09-30,45,revealed_scaled,0.9661063502885644,0.9497717378764757,0.8654724144269933,0.9134577184877107,0.8991150442477877
2019-09-30,60,revealed,0.9824963548186192,0.9611670487774915,0.8938483104496837,0.9223308550602138,0.9133765468473777
2019-09-30,60,revealed_scaled,0.9824963548186192,0.9603693660381163,0.8918883200078117,0.9223308550602138,0.9133765468473777
2019-12-31,15,revealed,0.021727364860400545,0.004332674820889726,0.0037237107581684636,0.08275412029921028,0.5446570972886763
2019-12-31,15,revealed_scaled,0.021727364860400545,-0.06454970194437903,-0.005000838783173034,0.08275412029921028,0.5446570972886763
2019-12-31,30,revealed,0.10113326116677174,0.04011968422667678,0.028280259564624433,0.15634096077128096,0.5682382133995038
2019-12-31,30,revealed_scaled,0.10113326116677174,-0.4775059694292392,-0.18254622536512155,0.15634096077128096,0.5682382133995038
2019-12-31,45,revealed,0.9697467493682034,0.9298351991428961,0.8823185011509734,0.8711861749983912,0.881199538638985
2019-12-31,45,revealed_scaled,0.9697467493682034,0.9300430366218467,0.8831283903312128,0.8711861749983912,0.881199538638985
2019-12-31,60,revealed,0.9778807951328536,0.9601418212895163,0.9162799251332523,0.8802077941393788,0.8876728110599078
2019-12-31,60,revealed_scaled,0.9778807951328536,0.9601174419135353,0.9163777336798135,0.8802077941393788,0.8876728110599078
2020-03-31,15,revealed,0.01972129820396982,0.0019465448703069876,0.006109141593501288,0.0904506780950159,0.5537065052950075
2020-03-31,15,revealed_scaled,0.01972129820396982,-0.18843045730556063,-0.038352124762907946,0.0904506780950159,0.5537065052950075
2020-03-31,30,revealed,0.10831164316094814,0.06358258426490881,0.04319101599316588,0.2135199283614907,0.5877626699629172
2020-03-31,30,revealed_scaled,0.10831164316094814,-1.7114461628433562,-0.5566169176405151,0.2135199283614907,0.5877626699629172
2020-03-31,45,revealed,0.9711647073683981,0.8556390088126499,0.8984136747544738,0.9491294275259469,0.946590909090909
2020-03-31,45,revealed_scaled,0.9711647073683981,0.855752625566053,0.8985342319305655,0.9491294275259469,0.946590909090909
2020-03-31,60,revealed,0.9794078982110516,0.9322854851612712,0.9277258610249803,0.9634793089783112,0.9489506522972206
2020-03-31,60,revealed_scaled,0.9794078982110516,0.9320953542092709,0.9281168959995794,0.9634793089783112,0.9489506522972206
2020-06-30,15,revealed,0.021267792527503982,-0.0012801911952959877,0.001958729084662658,0.03681738382003218,0.49280575539568344
