period,panel,model,ndcg
2014-09-30,mega,persist,0.9988298318681639
2014-09-30,mega,persist,0.8713625390598038
2014-09-30,mega,ema,0.9147505516299093
2014-09-30,mega,persist,0.9755284781418352
2014-09-30,mega,ema,0.9643947889793507
2014-09-30,mega,persist,0.7672840777569964
2014-09-30,mega,ema,0.8007307944000871
2014-09-30,mega,persist,0.9956040872392955
2014-09-30,mega,ema,0.9950607273152967
2014-09-30,mega,persist,0.9567129623830298
2014-09-30,mega,persist,0.8816184110488051
2014-09-30,mega,ema,0.8521356037800616
2014-09-30,mega,persist,0.6656581862174623
2014-09-30,mega,ema,0.642150728298202
2014-09-30,mega,persist,0.6825646424741624
2014-09-30,mega,ema,0.6831302970374534
2014-09-30,mega,persist,0.8139926417310377
2014-09-30,mega,ema,0.8694271337014414
2014-09-30,mega,persist,0.9955868077676571
2014-09-30,mega,ema,0.9955868077676571
2014-09-30,mega,persist,0.9226204213732385
2014-09-30,mega,ema,0.9273688439447443
2014-09-30,mega,persist,0.8677422312389202
2014-09-30,mega,ema,0.8850418187025348
2014-09-30,mega,persist,0.9976276238913866
2014-09-30,mega,ema,0.9976276238913866
2014-09-30,mega,persist,0.9991960004793823
2014-09-30,mega,ema,0.9987331946479118
2014-09-30,mega,persist,0.8401991093509042
2014-09-30,mega,ema,0.8412042217012449
2014-09-30,mega,persist,0.9879747041197846
2014-09-30,mega,ema,0.9940296419546788
2014-09-30,mega,persist,0.9862868727039511
2014-09-30,mega,ema,0.9764381018926996
2014-09-30,mega,persist,0.9720163483787364
2014-09-30,mega,ema,0.9719426402675846
2014-09-30,mega,persist,0.9617156223495118
2014-09-30,mega,ema,0.9605671240138262
2014-09-30,mega,persist,0.8927138535480408
2014-09-30,mega,ema,0.8948123910214908
2014-09-30,mega,persist,0.7956753041352194
2014-09-30,mega,persist,0.9340716640112495
2014-09-30,mega,ema,0.9340716640112495
2014-09-30,mega,persist,0.9996632438838444
2014-09-30,mega,ema,0.9996632438838444
2014-09-30,mega,persist,0.8653920307552506
2014-09-30,mega,ema,0.8212341512748346
2014-09-30,mega,persist,0.9972980094356306
2014-09-30,mega,ema,0.9940596996606106
2014-09-30,mega,persist,0.9970116056425552
2014-09-30,mega,ema,0.9761843806011109
2014-09-30,mega,persist,0.9299385301529612
2014-09-30,mega,ema,0.8969911378809651
2014-09-30,mega,persist,0.7067304698599977
2014-09-30,mega,ema,0.7245690707716971
2014-09-30,mega,persist,0.9985170600793761
2014-09-30,mega,ema,0.9963846243448632
2014-09-30,mega,persist,0.9984390882444809
2014-09-30,mega,ema,0.9926092082135998
2014-09-30,mega,persist,0.9944355641712063
2014-09-30,mega,ema,0.9859400198000711
2014-09-30,mega,persist,0.9999819435018549
2014-09-30,mega,ema,0.9987795867202107
2014-09-30,mega,persist,0.7513471289804954
2014-09-30,mega,ema,0.7003951166908297
2014-09-30,mega,persist,0.9807782068479455
2014-09-30,mega,ema,0.9827190710420011
2014-09-30,mega,persist,0.9986491071918703
2014-09-30,mega,ema,0.9000904383211142
2014-09-30,mega,persist,0.7337674087702662
2014-09-30,mega,ema,0.740974353431357
2014-09-30,mega,persist,0.9767317493687608
2014-09-30,mega,ema,0.9909005439759734
2014-09-30,mega,persist,0.9937439043666249
2014-09-30,mega,ema,0.9175213659921175
2014-09-30,mega,persist,0.9364667990584312
2014-09-30,mega,ema,0.9369489976946404
2014-09-30,mega,persist,0.9615473416963501
2014-09-30,mega,ema,0.9625604058269261
2014-09-30,mega,persist,0.9454387320204023
2014-09-30,mega,ema,0.9609785366822068
2014-09-30,mega,persist,0.9642212049956261
2014-09-30,mega,persist,0.9995073124084227
2014-09-30,mega,ema,0.9991911591851412
2014-09-30,mega,persist,0.9838350858467804
2014-09-30,mega,ema,0.9886519388796114
2014-09-30,mega,persist,0.9963369227208644
2014-09-30,mega,ema,0.9962597069672833
2014-09-30,mega,persist,0.9912800689775693
2014-09-30,mega,ema,0.9897182247135897
2014-09-30,mega,persist,0.3534686676530339
2014-09-30,mega,ema,0.29281505702658345
2014-09-30,mega,persist,0.5580275492813831
2014-12-31,mega,persist,0.9995410727993279
2014-12-31,mega,ema,0.9994248016214479
2014-12-31,mega,persist,0.9915465822752215
2014-12-31,mega,ema,0.8779014739761716
2014-12-31,mega,persist,0.98802290296893
2014-12-31,mega,ema,0.9879456201245707
2014-12-31,mega,persist,0.9994021924289015
2014-12-31,mega,ema,0.9994021924289015
2014-12-31,mega,persist,0.976395427082408
2014-12-31,mega,ema,0.9786874721524481
2014-12-31,mega,persist,0.9991495173836918
2014-12-31,mega,ema,0.9989609041617525
2014-12-31,mega,persist,0.984007057491807
2014-12-31,mega,ema,0.9643887679071096
2014-12-31,mega,persist,0.9923133689913208
2014-12-31,mega,ema,0.9923133689913208
2014-12-31,mega,persist,1.0
2014-12-31,mega,ema,1.0
2014-12-31,mega,persist,0.9969032784104738
2014-12-31,mega,ema,0.9969032784104738
2014-12-31,mega,persist,0.8610167606854771
