period,model,r2,ic,hit
2017-09-30,last_dio,-1.4960117383417404,0.005903798964824214,0.5043352601156069
2017-12-31,ema_disc,-0.5843958752620053,-0.08112653164293195,0.4992764109985528
2017-12-31,last_dio,-1.228416347319858,-0.12627000362284704,0.43162393162393164
2018-03-31,ema_disc,0.09040404323145645,0.2084767452263759,0.6875891583452212
2018-03-31,last_dio,-0.41703386706997647,-0.228460515593205,0.40350877192982454
2018-06-30,ema_disc,-0.1511110574075043,0.01509337686531296,0.4520166898470097
2018-06-30,last_dio,-3.068939059708378,-0.7433396789545637,0.16120218579234974
2018-09-30,ema_disc,-1.387844455378037,-0.03844814810537578,0.5568258238063215
2018-09-30,last_dio,-3.3180366961008874,-0.11602236476766994,0.42233972240581624
2018-12-31,ema_disc,-0.5316374370166841,0.11108125803538073,0.5846456692913385
2018-12-31,last_dio,-2.1948569647772818,-0.10693380877700176,0.45559105431309904
2019-03-31,ema_disc,-0.3842762924191607,0.005373093112414046,0.49359795134443024
2019-03-31,last_dio,-1.2739703613745639,-0.003335050201035147,0.49623588456712675
2019-06-30,ema_disc,-0.2791516862857375,-0.004543111422178357,0.5059861373660995
2019-06-30,last_dio,-1.3737170159520158,-0.039496669662976096,0.49969192852741834
2019-09-30,ema_disc,-0.15002595840303368,-0.03292783154564178,0.4379246448424954
2019-09-30,last_dio,-1.3462107727109025,-0.016540530042301976,0.49644549763033174
2019-12-31,ema_disc,-0.3539140353437331,-0.009273092288817463,0.5173031026252983
2019-12-31,last_dio,-2.9834651212068772,-0.06724048997952646,0.45428072218986604
2020-03-31,ema_disc,-0.20027854834837977,0.053806818822868446,0.5481611208406305
2020-03-31,last_dio,-0.8391364859410018,-0.047574126659434404,0.444
2020-06-30,ema_disc,-0.30270333737353483,-0.0500042574251908,0.48514285714285715
2020-06-30,last_dio,-1.7297605877880726,-0.07386265948199966,0.46693046919163367
2020-09-30,ema_disc,-0.32813873675119787,-0.09073093905003665,0.39661016949152544
2020-09-30,last_dio,-0.9308264835061859,-0.3062223639520048,0.48650137741046834
2020-12-31,ema_disc,-0.4054287704878041,-0.06701790326422057,0.4633608815426997
2020-12-31,last_dio,-2.686497372798554,0.1142438826633653,0.6152197213290461
2021-03-31,ema_disc,-0.8299898157650589,-0.08761894313575631,0.4418230563002681
2021-03-31,last_dio,-1.7370077434188316,-0.005169019583814105,0.4894925679138903
2021-06-30,ema_disc,-0.4574906733162529,-0.16229528992554837,0.39670273055126226
2021-06-30,last_dio,-1.0693064928666312,0.022537186255841862,0.5107018417122947
2021-09-30,ema_disc,-0.19031967793343418,-0.09123053912764673,0.42778884462151395
2021-09-30,last_dio,-1.7236452785589225,0.03430059130337307,0.5397727272727273
2021-12-31,ema_disc,-0.3278843064127446,-0.013114267292682964,0.5130146710837672
2021-12-31,last_dio,-2.888057922309784,-0.13746574863698063,0.44424540976265114
2022-03-31,ema_disc,-0.6651014920274525,-0.04899968874130001,0.47058823529411764
2022-03-31,last_dio,-2.0204582280016514,-0.003685887397166175,0.5142364106988784
2022-06-30,ema_disc,-0.16200256098269894,-0.003237185968318481,0.5080051925573345
2022-06-30,last_dio,-0.6168427973982435,-0.09518273188719524,0.43901402464938377
2022-09-30,ema_disc,-0.16249686101148408,-0.01705140582638199,0.4961406518010292
2022-09-30,last_dio,-1.6858046595477947,-0.30899332967282034,0.44313395113732096
2022-12-31,ema_disc,-0.6742362360293128,-0.030029180883319545,0.4727659574468085
2022-12-31,last_dio,-2.8916716339812547,-0.06497724969877314,0.4895833333333333
2023-03-31,ema_disc,-0.36998192640664684,-0.07225794135303265,0.4714285714285714
2023-03-31,last_dio,-1.1512854509533659,-0.15240121891165773,0.4612
2023-06-30,ema_disc,-0.3437971565378901,-0.05090357028588716,0.4895414320193081
2023-06-30,last_dio,-1.8279155399306863,-0.019119936245826943,0.4996041171813143
2023-09-30,ema_disc,-0.22655370120645024,-0.021715832902323706,0.5032025620496398
2023-09-30,last_dio,-0.89143565711022,-0.04980186690823822,0.4830441640378549
2023-12-31,ema_disc,-0.3160671535718378,0.010313776125364155,0.5271132376395534
2023-12-31,last_dio,-2.0747348848819014,-0.046367374628180476,0.49960876369327073
2024-03-31,ema_disc,-0.29771591098172157,-0.006659545979157444,0.4909234411996843
2024-03-31,last_dio,-0.9234681127862676,-0.11844345459191825,0.4458252427184466
2024-06-30,ema_disc,-0.3267707243219542,0.019744167571034456,0.520735524256651
2024-06-30,last_dio,-2.083774601889318,-0.13986593508145903,0.4559049079754601
2024-09-30,ema_disc,-0.220002904883138,0.020734909791584776,0.5121200461716044
2024-09-30,last_dio,-0.7473813724109188,-0.05979491503530232,0.4661369655694287
2024-12-31,ema_disc,-0.23995490692114418,0.04242800858440688,0.5288498280473825
2024-12-31,last_dio,-2.7914516941659957,-0.03660340200737403,0.5057428677287884
2025-03-31,ema_disc,-0.4732632317700114,0.004366624589259124,0.5037425149700598
2025-03-31,last_dio,-1.7012717177751062,-0.1351437584251267,0.45517241379310347
2025-06-30,ema_disc,-0.28241764346006515,0.0501120953304365,0.5387426900584795
2025-06-30,last_dio,-0.9512613417347899,-0.17606858387751698,0.42841842199214564
2025-09-30,ema_disc,-0.1743018601433659,-0.08167759531630714,0.46557971014492755
2025-09-30,last_dio,-1.0060282048526576,-0.019917743713341683,0.502283105022831
2025-12-31,ema_disc,-0.2071910787632678,0.04654588295921934,0.5209152663568108
2025-12-31,last_dio,-1.694286414404353,-0.11617097175655568,0.4698753462603878
