period,exp,spread_uncond,spread_t0,spread_t1,spread_t2,delta,n
2015-03-31,pressure_o|vol,0.024769130965016584,0.009209830849580559,0.018904163306643868,0.024889892369047137,0.00012076140403055255,1201
2015-03-31,pressure_o|vol_resid,0.022849491970894725,-0.002344174573228443,0.0005371249528492109,0.015200121409510978,-0.007649370561383748,1166
2015-06-30,new_conv|mktcap,-0.0006158280006915776,-0.0166735511566772,-0.019730620326104058,-0.006209334289055117,-0.016057723155985623,1230
2015-06-30,dbreadth|io,-0.004930353906842849,-0.05131248695059373,-0.054350374743927066,0.055062607870260794,-0.046382133043750884,1240
2015-06-30,distress|adv,-0.010394887453054995,0.022512675338337652,-0.0067303467519076315,0.0710269459219952,0.03290756279139265,1268
2015-06-30,pressure|vol,0.001162962578630456,-0.005657317033973718,-0.012411991384564138,0.07272764883573171,0.07156468625710126,1268
2015-06-30,exit_rate|mom,-0.0303563677096116,-0.00443871063941325,-0.047102099139912895,-0.031803556526819404,0.02591765707019835,1223
2015-06-30,pressure|adv,0.001162962578630456,0.0394524804852065,-0.013546286086419446,-0.06754275395907966,0.038289517906576045,1268
2015-06-30,pressure|mktcap,0.005837116524752859,0.030392019375699263,-0.023134477650842825,-0.054297338311628786,0.024554902850946404,1231
2015-06-30,pressure|vol_resid,0.006274713264313416,0.009816083907816662,0.018028871996254837,0.018122119500669102,0.011847406236355686,1230
2015-06-30,pressure_o|vol,0.008839987360859138,-0.007500917708747775,-0.019639283649556874,0.04405276529369997,0.03521277793284083,1230
2015-06-30,pressure_o|vol_resid,0.010606503901298761,0.00781243627121289,0.006690182328022376,0.023922269464308008,0.013315765563009247,1195
2015-09-30,new_conv|mktcap,0.022459623547179827,0.03894122022099214,-0.03412935427098068,0.08285989087051221,0.016481596673812313,1260
2015-09-30,dbreadth|io,0.02860159634622235,0.019085204027109587,0.04696345874964837,0.011192544904262525,-0.009516392319112763,1265
2015-09-30,distress|adv,0.0562461072148258,0.004485671890519849,0.17011766892911528,0.07146816877157793,-0.05176043532430595,1302
2015-09-30,pressure|vol,-0.10616599730583641,-0.02261816740398831,-0.03798133566943729,-0.052825589882520924,0.053340407423315486,1302
2015-09-30,exit_rate|mom,-0.13582022642808106,-0.07493773700693179,-0.10865207685628606,-0.15272393056458267,0.060882489421149266,1247
2015-09-30,pressure|adv,-0.10616599730583641,-0.07848621510948627,-0.12983658696730832,-0.07788462170953693,0.027679782196350144,1302
2015-09-30,pressure|mktcap,-0.10450562163601901,-0.0723456202714244,-0.11171258800705665,-0.09598528409464978,0.03216000136459461,1261
2015-09-30,pressure|vol_resid,-0.10341508417509336,-0.022098768362175912,-0.029767333917966543,-0.06701926945557718,0.03639581471951618,1260
2015-09-30,pressure_o|vol,-0.09166294689247625,-0.01810195573267573,-0.04146132542734185,-0.07427318542643799,0.017389761466038267,1252
2015-09-30,pressure_o|vol_resid,-0.09517134988149815,-0.021223157835516746,-0.021574580171177027,-0.06529551015876026,0.0298758397227379,1213
2015-12-31,new_conv|mktcap,-0.010863364726742014,-0.039035824707919775,-0.004825340738993877,-0.0312514529321784,-0.02817245998117776,1279
2015-12-31,dbreadth|io,-0.0518346607748926,0.0021627412425473946,-0.08564343185796565,-0.04276614976061496,0.053997402017439994,1283
2015-12-31,distress|adv,-0.01689478924677651,0.02242480433185931,-0.012775634100616606,-0.05155867289242036,0.03931959357863582,1322
