period,method,signal,spread_ew,spread_vw,ic,n
2019-09-30,ica,comb,-0.008619780363648688,0.009631609228403767,0.015692803014079056,990
2019-09-30,pca,rev,0.012432222465381004,0.015891049837840857,-0.01561121824829879,990
2019-09-30,pca,cont,0.0007049003023791717,-0.004083728893767298,-0.008215069924754355,990
2019-09-30,pca,comb,0.002016911553693143,0.06132093136733137,-0.02541361512850674,990
2019-12-31,ica,rev,-0.006290488505189401,-0.0522325997828975,0.021591497254744588,985
2019-12-31,ica,cont,0.01105055933064894,-0.03971153668866703,0.007875240365237129,985
2019-12-31,ica,comb,0.0063157713334133225,-0.11418369719151732,0.020941297410237855,985
2019-12-31,pca,rev,-0.03195818563558886,-0.024503613285905584,-0.0004190146513238076,985
2019-12-31,pca,cont,-0.0007438981059514904,-0.009787033456743935,-0.02697500050854341,985
2019-12-31,pca,comb,-0.03802366192605883,-0.055023829226077445,-0.02267784165112917,985
2020-03-31,ica,rev,-0.0161691731941907,0.04340590550578177,-0.01868293643515638,980
2020-03-31,ica,cont,-0.011505053564969225,0.016705782437534206,0.008099006299486367,980
2020-03-31,ica,comb,-0.0059934967039750875,0.05137772669095364,0.004923850872127927,980
2020-03-31,pca,rev,0.025076637911925048,0.0606886725756611,-0.014769524681610325,980
2020-03-31,pca,cont,-0.04127232708957476,-0.05681422262742222,-0.020886701617701363,980
2020-03-31,pca,comb,-0.048895915422630054,-0.04605540846108394,-0.023995629107430298,980
2020-06-30,ica,rev,-0.004799297510526143,0.005735356540052902,-0.00209170371503074,983
2020-06-30,ica,cont,0.032865763029926595,0.09886848684982397,0.043855232964671434,983
2020-06-30,ica,comb,0.014758226523503115,0.004729484270796405,0.02778532538278784,983
2020-06-30,pca,rev,-0.03235802329302462,-0.08961420452326904,-0.044261953482411465,983
2020-06-30,pca,cont,-0.014475350113010418,-0.019223532416101564,-0.04399796541200407,983
2020-06-30,pca,comb,-0.03096445124305444,-0.006788687454554881,-0.06440750955281106,983
2020-09-30,ica,rev,0.05581945527158849,0.007604664997217944,0.15140039314532988,974
2020-09-30,ica,cont,-0.05676110006753338,-0.016448427841333046,-0.10275357898125394,974
2020-09-30,ica,comb,-0.001152841149674455,0.045944305685479664,0.03723387684943502,974
2020-09-30,pca,rev,-0.09782181588896693,-0.04645062174789859,-0.03956805636565731,974
2020-09-30,pca,cont,-0.2150476391799929,-0.060359122948176004,-0.23395344495665063,974
2020-09-30,pca,comb,-0.17689612176605923,-0.12408440935419014,-0.19170623035049092,974
2020-12-31,ica,rev,0.07875615184992077,0.03748825988278703,0.12809702287457794,999
2020-12-31,ica,cont,-0.05149643309705254,0.22720108387234272,-0.09934387694307532,999
2020-12-31,ica,comb,0.030236287927829862,0.09986749144844638,0.03286049980252116,999
2020-12-31,pca,rev,-0.026999249073040858,-0.1640070856160292,0.010566983817484818,999
2020-12-31,pca,cont,0.006831603450053111,0.037168045164768876,-0.0163196783958307,999
2020-12-31,pca,comb,-0.003796238298445602,-0.07982671541073157,-0.012727826634073581,999
2021-03-31,ica,rev,-0.040996243762527425,-0.0577038198070279,-0.08211768777927972,1003
2021-03-31,ica,cont,0.009755573014238475,0.01436558902318602,0.08970416802649285,1003
2021-03-31,ica,comb,-0.0014662952299541766,-0.019993083725467202,0.009815638500554764,1003
2021-03-31,pca,rev,-0.031995750254520304,-0.025641038200957728,-0.07373532716733974,1003
2021-03-31,pca,cont,0.01778056235028859,0.0019986755370081793,0.04213083011623098,1003
2021-03-31,pca,comb,-0.002354427991060979,-0.01528891754292857,-0.017614160677180503,1003
2021-06-30,ica,rev,-0.036524141650090214,0.05430768155733188,-0.04933284133284134,1000
2021-06-30,ica,cont,0.003491253731769478,0.017517687469514816,0.01048813048813049,1000
2021-06-30,ica,comb,-0.020160237345489773,0.02759893444657066,-0.027660264603659362,1000
2021-06-30,pca,rev,-0.014068403686395517,-0.024893888082394136,0.00018224418224418225,1000
2021-06-30,pca,cont,-0.03755470968315956,0.024967500374976363,-0.05063220263220264,1000
2021-06-30,pca,comb,-0.028876564100447054,0.03012669393981996,-0.040254828728350636,1000
