filer_id,cik,name,n_q,ann_excess,te,ir,ir_1st,ir_2nd,med_aum,act_share,turnover,n_pos
CIK0001848530,1848530,,21,0.009470695640849916,0.15215369148840388,0.06224427122392373,,0.06224427122392373,177303698.0,0.9504791358086858,0.036975540431277605,12.761904761904763
CIK0001850858,1850858,"Bard Financial Services, Inc.",20,-0.03339304602319085,0.06778646005461725,-0.4926211812108199,,-0.4926211812108199,1014750500.0,0.9033765824285498,0.07339961506729922,259.95
CIK0001851362,1851362,,21,-0.03338932815986727,0.05860784866119938,-0.5697074525247479,,-0.5697074525247479,259842445.0,0.9361942715593272,0.08749377703425944,66.76190476190476
CIK0001851418,1851418,,21,-0.017855863328946984,0.05163565482623656,-0.3458049169385694,,-0.3458049169385694,114810874.0,0.8942371702100763,0.06456962159633764,143.85714285714286
CIK0001852688,1852688,,12,-0.0031473278896746934,0.06676545426557175,-0.047140065535409136,,-0.047140065535409136,115074251.5,0.9917644958102688,0.1190179775051899,13.0
CIK0001852930,1852930,,13,-0.09343765518366667,0.09441702419460478,-0.9896271988947802,,-0.9896271988947802,720352425.0,0.993801253756931,0.0742743564664132,337.46153846153845
CIK0001858319,1858319,,17,-0.05140104672764478,0.08127181627455887,-0.6324584472522773,,-0.6324584472522773,317876000.0,0.9998663359500175,0.12809844328048448,46.11764705882353
CIK0000765207,765207,First National Bank,15,-0.07323880153325886,0.09746215602377609,-0.7514588689571898,,-0.7514588689571898,116720631.0,0.9531136737302766,0.05325079079463853,110.6
CIK0001105838,1105838,,20,0.07709619779745606,0.1707166085628416,0.45160338203516603,,0.45160338203516603,562311025.0,0.9968539635492684,0.09560800775127337,64.7
CIK0001332905,1332905,,15,-0.05383248454384103,0.05955471242296567,-0.9039164551699548,,-0.9039164551699548,3045747000.0,0.9655341619391191,0.08532700139926017,482.6
CIK0001350694,1350694,,17,-0.07124413044968779,0.08278680601853804,-0.8605734883891196,,-0.8605734883891196,18264176000.0,0.8888321592677892,0.21039856355139014,737.0588235294117
CIK0001384484,1384484,,20,0.024340387411282118,0.30223536939648643,0.08053454319302449,,0.08053454319302449,149625938.5,0.9943631985712512,0.0850861966001047,26.75
CIK0001464811,1464811,"B. Riley Wealth Advisors, Inc.",13,-0.037573079047219654,0.0742983328867708,-0.5057055466300823,,-0.5057055466300823,3471216000.0,0.9042733501745814,0.12231557951924317,1363.3846153846155
CIK0001512848,1512848,,19,-0.11247467771216026,0.2920058589866589,-0.38517952380033793,,-0.38517952380033793,1779485386.0,0.9998907647828116,0.20676077560115735,46.78947368421053
CIK0001550509,1550509,,19,-0.03337908042458878,0.09363674841924804,-0.3564741513067577,,-0.3564741513067577,117658863.0,0.9942579542352,0.1464548883224733,35.31578947368421
CIK0001564770,1564770,,15,-0.08326818370359232,0.09399170314939491,-0.8859099357894394,,-0.8859099357894394,849650077.0,0.9105516109971393,0.1586500977034991,229.53333333333333
CIK0001568303,1568303,,20,-0.08472976989163145,0.082151698051869,-1.0313818447924465,,-1.0313818447924465,294498447.5,0.8179536436409884,0.21176385802543704,268.85
CIK0001615982,1615982,,20,-0.07305493145864125,0.329431622946702,-0.22176053046983024,,-0.22176053046983024,935854610.5,0.999908433063594,0.26362856714848143,31.35
CIK0001723643,1723643,,16,-0.0034988486756457327,0.1048099674490357,-0.03338278563324903,,-0.03338278563324903,340083558.5,0.9555919077412802,0.4674256954507998,271.8125
CIK0001731509,1731509,,20,-0.17033140587618753,0.24823361036428251,-0.6861738248291762,,-0.6861738248291762,12375358209.0,0.9995550755952471,0.07805853184049638,12.55
CIK0001736852,1736852,,20,0.12270433236738035,0.1699153854999459,0.7221496276214205,,0.7221496276214205,1514846720.0,0.994842882163861,0.3736714326012566,43.6
CIK0001764000,1764000,,18,-0.03773683832127856,0.04730263124151897,-0.7977746127272564,,-0.7977746127272564,1590003234.5,0.914003156988997,0.06539232575746183,83.61111111111111
CIK0001799883,1799883,,12,-0.409972967323452,0.2970619534709714,-1.380092477445968,,-1.380092477445968,424029827.5,0.9998139441850356,0.2375521373112363,21.5
CIK0001801467,1801467,,19,-0.05610898954850335,0.042007395175459844,-1.3356931395405847,,-1.3356931395405847,328316000.0,0.8828672706063964,0.23258535365240962,240.94736842105263
CIK0001811739,1811739,,12,-0.025289769836136056,0.11271167998567966,-0.22437576867721645,,-0.22437576867721645,262114000.0,0.9962948390131667,0.13349318902965657,115.25
CIK0001812093,1812093,,15,-0.08301924000505653,0.1561037451310523,-0.5318209369947949,,-0.5318209369947949,110928912.0,0.9718783237758392,0.10519093416966692,45.266666666666666
CIK0001828301,1828301,,20,-0.06549245929459215,0.05539127317571467,-1.1823606055139646,,-1.1823606055139646,517565539.0,0.9055527969407737,0.6721760233911372,1500.7
CIK0001828776,1828776,,14,0.0006921728526000311,0.12196176427684595,0.005675326662358616,,0.005675326662358616,383487250.0,0.9986978453587182,0.2397916852298334,32.0
CIK0001839445,1839445,,14,-0.048570961907832756,0.08335822373150369,-0.5826775059784642,,-0.5826775059784642,122400000.5,0.9835959253166049,0.07892201582959993,83.85714285714286
CIK0001843303,1843303,Catawba River Capital,19,-0.06441400989790277,0.08296597529814233,-0.7763906790087752,,-0.7763906790087752,158146640.0,0.9984976608842809,0.154618284688663,20.789473684210527
CIK0001847700,1847700,,18,-0.042344858714469455,0.10447100935262317,-0.4053264056321244,,-0.4053264056321244,102924756.5,0.9560368862034269,0.07138667030116898,104.5
CIK0001848138,1848138,Greenwoods Asset Management Hong Kong Ltd.,16,-0.09547235698344923,0.14972235609875514,-0.6376626675524758,,-0.6376626675524758,2830610652.0,0.9520744389230494,0.1934440362838395,32.9375
CIK0001855835,1855835,,20,-0.024557225130716946,0.052953996393742826,-0.4637463988023234,,-0.4637463988023234,116668500.0,0.8910796122599491,0.06562380090578483,350.9
CIK0001856637,1856637,,20,-0.007061619574422404,0.018332235555424004,-0.38520231492239687,,-0.38520231492239687,1244305967.0,0.8151070157376612,0.11255989461230588,413.95
CIK0001857493,1857493,,13,-0.037378884340073436,0.05796881393540594,-0.6448102315916749,,-0.6448102315916749,4064247719.0,0.9869194735306205,0.22107003665500724,335.46153846153845
CIK0001858699,1858699,,20,-0.08509514471424119,0.09659670301985632,-0.8809321855942357,,-0.8809321855942357,106608933.0,0.9927087912349032,0.11646338254542896,12.5
CIK0001858782,1858782,,20,-0.03834525476732076,0.051417089157589406,-0.7457686810761297,,-0.7457686810761297,274632551.0,0.8926563195799704,0.1033841449808543,150.35
CIK0001859388,1859388,,18,-0.08033227989481856,0.22074278718460147,-0.3639180283925242,,-0.3639180283925242,322789000.0,0.9698227908578497,0.2746004769771335,18.666666666666668
CIK0001859677,1859677,,20,-0.028507839575722838,0.03381992958957704,-0.8429301870227077,,-0.8429301870227077,182371366.0,0.8883932128821861,0.11259379704317035,142.55
CIK0001860501,1860501,"Howard Capital Management Group, LLC",20,-0.014177255294513663,0.028782046547287037,-0.49257287073857675,,-0.49257287073857675,1126734459.0,0.9095674988470271,0.057857471748162276,118.85
CIK0001860698,1860698,,20,-0.05549737263599974,0.08890187593642843,-0.6242542359222663,,-0.6242542359222663,196876500.0,0.9466603333483686,0.11435012222402548,81.3
CIK0001860719,1860719,,20,-0.035429235082557936,0.059450107220899766,-0.5959490527026475,,-0.5959490527026475,163112311.5,0.891391298724091,0.0984454011705965,105.9
CIK0001860790,1860790,,20,-0.05905729353592789,0.06615714377078812,-0.8926820320229643,,-0.8926820320229643,494850721.0,0.9470400229039984,0.04569904225114742,39.55
