period,kind,n,press_excess,rev_excess
2018-06-30,placebo,316,0.008489106309422852,-0.01964295120813507
2018-09-30,thesis,254,-0.01876988931186982,0.009198407278767556
2018-09-30,placebo,325,-0.025464772068709687,-0.0011379609842358009
2018-12-31,thesis,311,-0.011555556946973293,0.030730201334576473
2018-12-31,placebo,330,0.001058023466734958,0.04215847184549693
2019-03-31,thesis,295,0.02035083657455461,0.019322935199719622
2019-03-31,placebo,339,0.045743290150186036,0.008625623402277814
2019-06-30,thesis,247,0.0005655591200488322,-0.02113778255564082
2019-06-30,placebo,348,0.00927461549235059,-0.016607330780736146
2019-09-30,thesis,328,-0.01630893902837835,-0.03162707120417433
2019-09-30,placebo,355,-0.02442426414666661,-0.07601081920011268
2019-12-31,thesis,323,-0.05368096557625922,-0.10720331859025178
2019-12-31,placebo,365,-0.049976917658343,-0.1059935893966075
2020-03-31,thesis,363,-0.10654600491179972,-1.0686446633760287
2020-03-31,placebo,367,-0.11533381446277116,-1.0540183308865
2020-06-30,thesis,307,-1.030563548505088,-0.21407122178433988
2020-06-30,placebo,367,-1.0388464383624962,-0.22908112731880909
2020-09-30,thesis,353,-0.19390140059444624,0.06772479873024055
2020-09-30,placebo,376,-0.2499076931503667,0.04357811261933109
2020-12-31,thesis,377,0.06883789340659648,0.01972570430523014
2020-12-31,placebo,398,0.04039922696234709,0.04041991187481808
2021-03-31,thesis,403,0.035571916129349936,-0.003863277290514222
2021-03-31,placebo,414,0.03113667422868477,-0.027992087389229543
2021-06-30,thesis,414,-0.020852426746177273,0.03719781103432078
2021-06-30,placebo,430,-0.03312665885575839,0.04864610899456917
2021-09-30,thesis,393,0.050354546621410604,-0.026050099667749918
2021-09-30,placebo,458,0.03513306975339832,-0.032300123729338714
2021-12-31,thesis,403,-0.07937015500903044,0.03900611985867958
2021-12-31,placebo,472,-0.0077906516802813824,-0.005350207343098545
2022-03-31,thesis,444,0.03354294384342775,-0.03359605166427531
2022-03-31,placebo,488,-0.0003920468140567457,0.02291916093350953
2022-06-30,thesis,471,0.010659059038662246,-0.036126474534802236
2022-06-30,placebo,488,0.018099960150428543,-0.04821426991381514
2022-09-30,thesis,469,-0.03296288091500152,0.044476143756504674
2022-09-30,placebo,497,-0.042861429227940936,0.048026392156786064
2022-12-31,thesis,483,0.04887551083148975,0.005646133439268043
2022-12-31,placebo,508,0.057620146574576314,0.0002974846805295639
2023-03-31,thesis,444,0.0027624485301298435,0.022200295593761937
2023-03-31,placebo,510,-0.005384210871193278,0.036875293745351374
2023-06-30,thesis,461,0.02776828313653391,-inf
2023-06-30,placebo,515,0.03909952471939871,-inf
2023-09-30,thesis,469,-0.004373189491177848,-0.024161562249995595
2023-09-30,placebo,525,0.009341795447023543,0.01875651003875497
2023-12-31,thesis,459,0.007854161104874337,0.017757839335606422
2023-12-31,placebo,534,0.006204929688178221,0.03094388404429447
2024-03-31,thesis,499,0.01850213754849552,0.0048635791904512865
2024-03-31,placebo,521,0.039340427632414805,-0.012252931092025583
2024-06-30,thesis,439,-0.026572040562099906,-0.08592959456232385
2024-06-30,placebo,539,-0.012312749937140051,-0.06901944107827399
2024-09-30,thesis,525,-0.11618206374380806,-0.015127123320165095
2024-09-30,placebo,527,-0.07862515815018857,0.028731618422946407
2024-12-31,thesis,492,0.019510356763859347,-0.038199378332401904
2024-12-31,placebo,565,0.028744906841509925,-0.06065399850100355
2025-03-31,thesis,515,0.00178619148948507,0.04006849899463174
2025-03-31,placebo,571,-0.01334847965360983,0.043299021352736826
2025-06-30,thesis,491,0.03428541144532199,0.006955945637967753
2025-06-30,placebo,571,0.021640139071370343,0.0029914848502609614
2025-09-30,thesis,492,0.028321754034098062,-0.037900411667799914
2025-09-30,placebo,585,0.015179933846195842,-0.03483388647341036
2025-12-31,thesis,509,-0.0025103004231217738,-0.04370236086046762
2025-12-31,placebo,599,-0.029216364897794632,-0.0546943101850499
