period,sold_healthy,sold_-0.050,n_-0.050,sold_-0.075,n_-0.075,sold_-0.100,n_-0.100,sold_-0.150,n_-0.150,sold_-0.200,n_-0.200
2017-06-30,0.1546268395602244,0.22911679949949462,172,0.2340067242603379,123,0.22402754849574574,83,0.2457331522763591,53,0.31711814360753604,35
2017-09-30,0.1848286006517131,0.28841772634835505,152,0.28472557926199515,108,0.27841926546282814,84,0.29154726054570684,52,0.2957956438236949,41
2017-12-31,0.21643731033268604,0.28983904550518175,196,0.3292765570544662,131,0.3441261645158511,104,0.40898877475942325,65,0.4228159747941714,41
2018-03-31,0.25358433091830473,0.3138751050597457,303,0.3123028523592044,185,0.3347407065693239,135,0.3460023973987397,78,0.3654164228107489,55
2018-06-30,0.1985268236379983,0.29214748348048336,196,0.32497123817788776,136,0.3451656668681786,89,0.390321105149287,63,0.3573874331330784,49
2018-09-30,0.23063943453557145,0.3365669198234858,234,0.36616272643391545,152,0.34275978065036133,119,0.30339525092807235,76,0.33900892216589645,53
2018-12-31,0.27708028807710844,0.22007613566014986,654,0.26887215784852614,408,0.3100422700294033,284,0.34238343516868136,170,0.3393978043239136,110
2019-03-31,0.20561033491691783,0.32921932440773527,196,0.3604108725105317,152,0.369011573940211,120,0.3077899800043549,80,0.3515800082376373,68
2019-06-30,0.2091314967527224,0.3802894539031444,234,0.37632640818229035,165,0.3240990095114443,117,0.3396830557142359,69,0.34168202174343815,51
2019-09-30,0.2263949611833651,0.2613113058260472,322,0.2875822796377524,212,0.30905204733372776,163,0.33421705575126764,99,0.33389277037906046,63
2019-12-31,0.27950486011372855,0.41595230979605097,243,0.4181200892461665,180,0.4233811716608485,147,0.45293208853127326,88,0.45376705803122475,61
2020-03-31,0.32423258367666913,0.25879036806342326,1092,0.26842733800351914,818,0.29412346291179037,565,0.35187709705088177,319,0.3918680246325653,194
2020-06-30,0.30244643509551894,0.3795559408036183,258,0.3491899232424085,204,0.36282081028958046,179,0.38384661146400595,126,0.371478252541934,97
2020-09-30,0.2798586028431487,0.28127557573606526,203,0.3617411645501135,133,0.37847022995666596,106,0.3519927309780327,73,0.34237216563103456,55
2020-12-31,0.2183746848612204,0.2558951181488539,134,0.26861006202963134,111,0.2840552173987735,87,0.2698546297429734,67,0.21215503098385216,50
2021-03-31,0.2206264142822468,0.3610255395191075,202,0.40227132015409744,151,0.4431756519757799,118,0.4517538253358701,86,0.45997406886763853,58
2021-06-30,0.21856912049347918,0.39426493415816843,172,0.46837567778994177,124,0.5058605659832087,85,0.4990097264775703,59,0.504213660963963,46
2021-09-30,0.20729990076614635,0.3446561230990069,216,0.31181340136696567,145,0.29865791903448663,107,0.2734297170569352,72,0.2699429814651305,49
2021-12-31,0.34353597953231124,0.5217550308897848,352,0.5009766772843159,260,0.570879649526464,203,0.5684338654008164,139,0.5333142426976129,102
2022-03-31,0.30452801714178224,0.30122324468431383,417,0.3573567794330618,280,0.39925954751423226,192,0.41164967032657224,105,0.4379927738818077,77
2022-06-30,0.2771604695889396,0.1936540212715113,495,0.21918046735218974,281,0.2332033821539941,196,0.2587025952767921,113,0.31161293028106263,72
2022-09-30,0.381481682693794,0.3576221377029538,451,0.42710604680166936,312,0.44842682042582616,234,0.4579421953274845,146,0.45460511432306183,103
2022-12-31,0.22231608776572145,0.34798621488882536,439,0.36866563641588374,317,0.3653226111074908,243,0.37935539381016475,164,0.41902117927826305,126
2023-03-31,0.21937393423217655,0.32635219885106026,320,0.35940745520573575,234,0.3584297196502242,172,0.39418933470430056,105,0.4132948353389833,71
2023-06-30,0.2221278542674871,0.30550505582132126,301,0.32856066921312377,218,0.387167301885104,166,0.40595508633606087,107,0.43833490682912485,75
2023-09-30,0.32125804287144555,0.26916531838756114,385,0.2988492743446659,267,0.3448693789000863,195,0.4354048344046958,116,0.4430079364747824,86
2023-12-31,0.2348916388380806,0.3169664253045982,336,0.372817292152114,263,0.3753219878423022,212,0.3884073210651395,149,0.37640419284162213,119
2024-03-31,0.2405903694443833,0.3530828745522537,346,0.35236191380800574,256,0.3804578542309282,200,0.3465822226938958,137,0.36106079404508434,103
2024-06-30,0.23032348392422183,0.36503680736423727,388,0.34871462316772145,275,0.37212907810284795,216,0.3530412958310247,129,0.41661204885160535,86
2024-09-30,0.2243495445975156,0.3781016270675332,376,0.37999751343068294,295,0.40859224744774825,222,0.42650256085530003,140,0.44188440766635284,102
2024-12-31,0.25371271839080195,0.3208808401213283,423,0.33342851540255414,287,0.3354109380068738,221,0.36434283032444564,136,0.37995797143745513,100
2025-03-31,0.25467725504401467,0.36603848485179674,546,0.40867704537191096,400,0.4606840643730354,302,0.49194426381462014,209,0.5134617292388896,147
2025-06-30,0.22919929698277955,0.2975996969589577,332,0.3160099669684634,251,0.32912427760755175,205,0.31654519086535665,142,0.3920665761515509,102
2025-09-30,0.3539386326199823,0.5644357484801606,343,0.6911005386834046,257,0.6965590688431342,208,0.6697265301468694,136,0.6432587266086699,91
2025-12-31,0.23478494785692094,0.3152591393197553,290,0.40876097141350065,189,0.37231291124656246,147,0.4250539528008288,95,0.43618157701403176,67
