period,n_scored,d_sig_level,dic_sig_level,d_sig_delta,dic_sig_delta,d_elec_level,dic_elec_level,d_elec_delta,dic_elec_delta
2018-12-31,2566,0.008359195188106405,0.00740042381194176,-0.009180826656269354,0.0031431347981886173,-0.0003874435697510184,-0.0018009063257660163,0.01709495212340398,-0.0005401075979710509
2019-03-31,2633,0.005574732106819649,0.006118316944462604,0.00933094659297526,-0.007976564017597037,0.0034399070143538574,0.0048488873942687805,-0.07702831274582474,-0.1387267543150384
2019-06-30,2683,-0.005324191572353247,-0.007267550871575296,0.001896095089841815,-0.0024206676994132925,0.0060751111506428535,0.008772620983014068,0.0077161405005536365,0.023671117477885154
2019-09-30,2842,-0.004193977013997263,-0.0002948774375191032,-0.00887809425743806,0.004275289024657722,0.0063335496071207364,-0.015533744060447802,-0.0032371780972171027,-0.053451459449885184
2019-12-31,2899,0.008333426884732348,0.007255387931788454,0.0056345586671621845,0.0036085758737004203,-0.01978322592950707,-0.010652399168479126,-0.04008742819135616,-0.049722785993553065
2020-03-31,2967,-0.0008342412124116572,-0.00897134534482815,0.004959688139043711,-0.002912233577195153,0.0014472157373995875,-0.0019297559813273649,0.10240447855969878,0.07052878936686198
2020-06-30,3028,0.006872781843690667,0.007166194956106077,0.0016571972959277814,-0.00288181839569443,-0.022328694720360198,-0.010319555357113909,0.0022367870938261175,-0.029808333935087153
2020-09-30,3216,0.0032380541504859472,0.007725566122572913,-0.004742990050324969,-0.007901431242564871,-0.018788461880066998,-0.01426838654562379,0.7703284596533813,0.7302930141175441
2020-12-31,3314,-0.0012048995108309146,-0.01635403340739794,0.03291056327180128,0.02824564084222453,-0.009769581322735088,-0.0011097378132098878,-0.22266429782518316,-0.2940295284560358
2021-03-31,3395,0.0029357466971639823,0.004741250540216763,-0.000654835830924648,-0.007577247264011655,-0.0066838246193046714,-0.007454375977029654,-0.04300296151467814,-0.15078971685284506
2021-06-30,3453,0.005818500740270717,0.00459717276659239,-0.009972636709297225,-0.005699526291217668,0.008947101312181897,0.01184920532005327,0.07278493633585753,0.08171539467012795
2021-09-30,3679,-0.0032041846513441996,-0.002484955986695847,0.0014914110519415047,-0.006555510026658606,0.012898703284434154,0.004835504886694819,-0.35877086055595797,-0.5074428086582206
2021-12-31,3762,0.0027942102590914064,0.011154737547607152,-0.001279129926632136,-0.0073505490903518905,0.00015721136578245032,-0.004042176273035547,-0.008390535040513167,-0.017884740700708918
2022-03-31,3831,0.0055518256663988075,-0.004979830124811346,0.014561761696888859,0.020600913009181,0.0141175560833917,0.00878491612035795,0.1676712976157756,0.2874985271639208
2022-06-30,3885,0.016447062827149972,0.012980547027079903,-0.01095351704700906,-0.011545188296942899,0.01425522307672461,0.012148242081998037,-0.20901642115052282,-0.26401924276820216
2022-09-30,4171,-0.00964038324179714,-0.006371401969173487,0.01240035986000998,0.002242084170106849,0.008373079155151897,0.02017169715859675,0.036818278224362705,0.036584542199948666
2022-12-31,4243,0.0003527438297833349,-0.0012174645147943197,0.0025879821728998567,0.000437834844312715,0.008612637432000081,0.00427888878721603,-0.01612927122960358,-0.040291813844616345
2023-03-31,4289,0.0004633708986402779,-0.00018973106344819662,0.007245590068146526,-0.0034563463890066697,-0.008726146092756647,-0.017059648627744485,-0.015572521127663441,-0.023454976993528512
2023-06-30,4347,0.002947241484207219,-0.0012940220529501084,-0.0030011449067795654,-0.0006368883269092934,-0.010741349760398741,-0.004380456163985025,0.023227467673603685,-0.08849299723773218
2023-09-30,4480,-0.00521988056116765,-0.006294859262914483,-0.009134200055125274,0.000615691597015286,0.004650255413841231,0.013464921435847701,0.0377781581543591,-0.00030916097111574614
2023-12-31,4541,0.006932970284441314,-0.0026186362354991,0.006766452313565041,0.004367732353754018,-0.004280077128656801,0.0014391330615231984,0.0020431255313605318,-0.030517442641712206
2024-03-31,4592,0.0018774576815079325,0.0021107173944251156,0.01788557096400281,0.0028050142000749095,0.004505153014483926,0.003508663242642873,-0.05343002746452707,-0.06700861988217097
2024-06-30,4647,0.005238065976222006,0.007448658434030414,0.01631615402040157,0.006004656546232709,0.009850502435440125,0.00044324650448865355,0.02888069797608543,-0.008631116746441875
2024-09-30,4829,-0.014198458781179119,-0.005155756471152628,0.001310230616894191,0.001553971252764505,-0.00919462646989043,0.0007979989488860334,0.03470326250227455,0.06070931974065945
2024-12-31,4906,0.0054517691058436485,0.004052253512394327,-0.0072324563903173045,0.0019330163822129792,0.002645740186057309,-0.001619080782280402,-0.023592312870535214,-0.028804112295650622
2025-03-31,4976,-0.01809679711188711,-0.011929650588685954,-0.018175703169985985,-0.007522340371346244,0.00517670295440345,-0.005483377662269591,0.07046687184801063,0.05475374384508744
2025-06-30,5045,-0.014030409451731632,-0.010152436326376451,-0.006885460241649655,-0.0054234718665586495,-0.006180349815147118,0.0021217524283728114,0.02168230299237564,-0.0040474819877006855
2025-09-30,5287,-0.008332274732598413,-0.010694279442810886,0.00386663752222792,0.004482161796940244,0.006228045359038731,0.0021362172443171457,-0.03597850450140756,-0.03414969099521331
2025-12-31,5374,0.0026233866632201647,0.005876661206710251,-0.006224507665667546,-0.007781243630856069,-0.030699681995487213,-0.013669230391526788,0.010505715816757057,0.04095071479179775
