,size,mom,beta,lowvol,strev,liq,new_conv,dbreadth,distress,pressure
2023-06-30,0.28420176004975445,-0.020802258428243778,0.018721165861064162,0.16866652497914897,-0.000691167638106116,0.15614956714121087,0.06416213872340426,0.08154803329775916,0.07005232290718133,0.0721187350319385
2023-09-30,0.13895181941613377,0.06938949383221385,-0.015363543976778388,-0.25684053688973396,-0.12675038232681313,0.12387173426882817,0.05898230757615805,-0.022063733818792196,0.033968306981828,0.03901132355528422
2023-12-31,0.35323060044329657,-0.038650070171845546,-0.006028538160483599,0.009832544284351694,-0.07173202745285488,0.27451116425870536,0.05501840556208385,0.02080568533162272,-0.020848143657404866,-0.02337986897558309
2024-03-31,0.27757350934704184,0.0424760469948196,-0.04158853533014091,0.18388623915571523,-0.0007411172421736695,0.13985721357569528,0.020949663751073988,-0.0028295001397733513,0.055944586470769934,-0.006975861647112322
2024-06-30,0.40076753573108875,0.024032616340569447,0.11148569181841161,0.014959194079854465,0.07598999407253296,0.33421574585851743,0.03797399853409752,0.027588564394980142,-0.04469098793914961,-0.012366140990023665
2024-09-30,-0.24330843581251912,-0.13860186221990262,0.026322316567139167,-0.18359620237166058,-0.039797145209701776,-0.16659431105195177,0.1443824568195145,0.07272049106917791,-0.2380675657010096,0.06064502676610116
2024-12-31,0.15217528281799445,0.05704367644408718,-0.10912967525585053,0.10070248618867986,0.02064427043644931,0.253893508480978,0.031852455026064014,0.026323505841942783,-0.06439549448229058,-0.009912976292198103
2025-03-31,0.22396381695656142,-0.05257472979217998,0.0644377721108705,-0.18357977555476343,-0.009691571139443668,0.13449740463022253,0.0509855082193289,-0.004404004466392025,0.059883422964461384,0.04716055519503676
2025-06-30,-0.012078427474167666,-0.04166376974549532,-0.07190157389858146,-0.24169019988438245,0.03687437924123222,-0.11632373183094666,0.07359298138670595,-0.0018730037929474315,0.11870149126787041,0.0621545961488077
2025-09-30,-0.06130103747519472,-0.10495226582957347,-0.06095534777246881,0.05992114246038644,0.06171378295337661,-0.014373829067283472,-0.09978469489101637,0.0800947050870713,0.08329784633113446,0.06196639112556373
2025-12-31,0.3222197463366614,0.04110638682855355,0.22884341563399288,-0.01534682649632027,0.11493214178103565,0.19303641128480364,0.012978932837068215,0.05297272453741332,0.04504652156111256,-0.02323263698766752
