period,pair,d_ic,d_spread,n
2020-12-31,signed_frag vs pressure (raw),-0.00017007508390708137,0.002017229361801473,1939
2020-12-31,cont_score vs new_conv (resid),0.06033810677319543,0.07753310121694798,1939
2021-03-31,cab_norm vs ti_like (raw),-0.09755505688507891,-0.052351229149507385,2009
2021-03-31,cab_sum vs votes_sum (raw),0.02073739018697559,-0.01518471239970854,2009
2021-03-31,signed_frag vs pressure (raw),-0.0020323616545326363,0.0037598329221955225,2007
2021-03-31,cont_score vs new_conv (resid),-0.1293194007030772,-0.041415102042670154,2007
2021-06-30,cab_norm vs ti_like (raw),0.01899116227267753,0.042936939709053074,2113
2021-06-30,cab_sum vs votes_sum (raw),-0.042907605370286664,-0.03302606674284737,2113
2021-06-30,signed_frag vs pressure (raw),-0.00631698089858079,-0.0029525513616619065,2109
2021-06-30,cont_score vs new_conv (resid),0.019163399352329094,-0.014733031238030075,2109
2021-09-30,cab_norm vs ti_like (raw),-0.19389646897134857,-0.12576797694764247,2226
2021-09-30,cab_sum vs votes_sum (raw),0.19921203991368827,0.1246484000390179,2226
2021-09-30,signed_frag vs pressure (raw),0.005538183219838316,0.011125037654533015,2221
2021-09-30,cont_score vs new_conv (resid),-0.014113086473231062,0.037709178612795685,2221
2021-12-31,cab_norm vs ti_like (raw),0.012406451766004788,-0.0021323107045499168,2337
2021-12-31,cab_sum vs votes_sum (raw),0.13452903429847007,0.0801319825582036,2337
2021-12-31,signed_frag vs pressure (raw),-0.0032245137991503414,-0.010776477633910375,2330
2021-12-31,cont_score vs new_conv (resid),-0.01514848875446824,0.037543471878391965,2330
2022-03-31,cab_norm vs ti_like (raw),0.18468517583126054,0.13354406263429647,2361
2022-03-31,cab_sum vs votes_sum (raw),0.022305244428256134,0.03502273253134129,2361
2022-03-31,signed_frag vs pressure (raw),-0.011052339421227943,-0.007626442432868696,2356
2022-03-31,cont_score vs new_conv (resid),0.08869738679722683,0.017519434286505445,2356
2022-06-30,cab_norm vs ti_like (raw),-0.1627745224294515,-0.12444830464484986,2402
2022-06-30,cab_sum vs votes_sum (raw),0.09426634795817937,0.07441103538437158,2402
2022-06-30,signed_frag vs pressure (raw),0.005532799577468342,0.007364774300526816,2393
2022-06-30,cont_score vs new_conv (resid),-0.0785238548253004,-0.028906390620100537,2393
2022-09-30,cab_norm vs ti_like (raw),0.04153039894675255,0.05483422842583327,2424
2022-09-30,cab_sum vs votes_sum (raw),0.01856822255337852,-0.013528409305680687,2424
2022-09-30,signed_frag vs pressure (raw),-0.0030353688795625436,-0.01575381451798817,2415
2022-09-30,cont_score vs new_conv (resid),0.00821808018211401,-0.05601521764808922,2415
2022-12-31,cab_norm vs ti_like (raw),0.0048218329328820475,0.005400589374503162,2515
2022-12-31,cab_sum vs votes_sum (raw),0.08913833716073447,0.048376579487758635,2515
2022-12-31,signed_frag vs pressure (raw),0.0028374558416073836,0.006200953460801517,2508
2022-12-31,cont_score vs new_conv (resid),-0.06294164904215474,-0.04831599676961504,2508
2023-03-31,cab_norm vs ti_like (raw),-0.07292282834240889,-0.05254766461297199,2518
2023-03-31,cab_sum vs votes_sum (raw),-0.03172723434699469,-0.0519019949410567,2518
2023-03-31,signed_frag vs pressure (raw),0.008019816539214469,-0.007516164960967561,2513
2023-03-31,cont_score vs new_conv (resid),-0.0008003182260448395,-0.0231919201492633,2513
2023-06-30,cab_norm vs ti_like (raw),0.012747078020715088,0.02293882635161662,2534
2023-06-30,cab_sum vs votes_sum (raw),0.09440117122459721,-0.01135410715746132,2534
2023-06-30,signed_frag vs pressure (raw),0.00303931274023464,0.009267428191194485,2529
2023-06-30,cont_score vs new_conv (resid),-0.03678908713558238,0.021279585774739748,2529
2023-09-30,cab_norm vs ti_like (raw),-0.009570052011685419,-0.021404444147739343,2517
2023-09-30,cab_sum vs votes_sum (raw),-0.029692958617106725,-0.06707137847376435,2517
2023-09-30,signed_frag vs pressure (raw),-0.0017001004326859803,0.0024000890167827638,2512
2023-09-30,cont_score vs new_conv (resid),-0.06486085079697453,-0.04375442966757659,2512
2023-12-31,cab_norm vs ti_like (raw),0.023289062705540653,0.021970552354815237,2562
2023-12-31,cab_sum vs votes_sum (raw),0.08097974704987597,-0.0040436816460694,2562
2023-12-31,signed_frag vs pressure (raw),0.00798957481590016,0.011649641206853925,2558
2023-12-31,cont_score vs new_conv (resid),-0.067557305773874,-0.07532814396352068,2558
2024-03-31,cab_norm vs ti_like (raw),0.02683711147555061,0.028838731268962053,2576
2024-03-31,cab_sum vs votes_sum (raw),0.07849954240259445,0.07274689984291953,2576
2024-03-31,signed_frag vs pressure (raw),-0.0015193459215371574,-0.01658699407010996,2575
2024-03-31,cont_score vs new_conv (resid),-0.019768684952306735,0.007457115598985646,2575
2024-06-30,cab_norm vs ti_like (raw),-0.03074001334063526,-0.06358383530766681,2566
2024-06-30,cab_sum vs votes_sum (raw),-0.02335583225515913,-0.007464327167875179,2566
2024-06-30,signed_frag vs pressure (raw),0.004192943375635408,-0.0024636329092272563,2566
2024-06-30,cont_score vs new_conv (resid),0.001607625015871651,-0.022620104952598072,2566
2024-09-30,cab_norm vs ti_like (raw),-0.005662912226560846,-0.05308855419175747,2605
2024-09-30,cab_sum vs votes_sum (raw),-0.027042153536375773,-0.04711270207169592,2605
2024-09-30,signed_frag vs pressure (raw),-0.006451031955508099,0.000327849396745003,2602
2024-09-30,cont_score vs new_conv (resid),-0.13860320602414367,-0.12902181933324283,2602
2024-12-31,cab_norm vs ti_like (raw),0.030193558155984155,0.03965258146851362,2693
2024-12-31,cab_sum vs votes_sum (raw),0.14659923676964903,0.10636885577361901,2693
2024-12-31,signed_frag vs pressure (raw),0.0010264410409920634,0.0013460881362888782,2691
2024-12-31,cont_score vs new_conv (resid),-0.08788197851041359,-0.05886773968920764,2691
2025-03-31,cab_norm vs ti_like (raw),-0.00630859084832044,0.006317567459803358,2678
2025-03-31,cab_sum vs votes_sum (raw),-0.05086057020631843,-0.05884343209536798,2678
2025-03-31,signed_frag vs pressure (raw),-0.0023245280722816036,-0.01983152670195841,2673
2025-03-31,cont_score vs new_conv (resid),-0.019851118837700646,-0.06018043288224019,2673
2025-06-30,cab_norm vs ti_like (raw),-0.018680542271468495,0.01672449606121027,2764
2025-06-30,cab_sum vs votes_sum (raw),-0.013592674469536815,-0.036710444507215376,2764
2025-06-30,signed_frag vs pressure (raw),-0.003399748271560631,0.0015753548949303253,2746
2025-06-30,cont_score vs new_conv (resid),-0.005634134253811166,-0.09832289306547312,2746
2025-09-30,cab_norm vs ti_like (raw),-0.003950937366599128,-0.08199576387793311,2815
2025-09-30,cab_sum vs votes_sum (raw),-0.01050412238049453,-0.010194185457045632,2815
2025-09-30,signed_frag vs pressure (raw),0.0035641269211463067,0.005118280950666243,2800
2025-09-30,cont_score vs new_conv (resid),0.04944856078972168,0.046542121401691325,2800
2025-12-31,cab_norm vs ti_like (raw),-0.0188861806195251,0.0038465835484814,2794
2025-12-31,cab_sum vs votes_sum (raw),-0.027413807765423355,0.016489857560914034,2794
2025-12-31,signed_frag vs pressure (raw),-0.0024322604218022376,-0.018945743223967308,2771
2025-12-31,cont_score vs new_conv (resid),0.04115852215718416,0.045949603163278924,2771
